id,tema_a,tema_b,match_humano
teixeira_1,tipos de agenda,tipos de configuracao,0
teixeira_2,horarios de atividades,agendamento de horarios,1
teixeira_3,identificacao de vacinas,campanhas de imunizacao,1
teixeira_4,modalidades de ad,modalidades de admissao,1
teixeira_5,planejamento urbano,configuracao localidade,1
teixeira_6,atendimento medico,capitulos de tratamento,0
teixeira_7,areas medicas,procedimentos medicos,1
teixeira_8,evolucao dental,condicoes dentarias,1
teixeira_9,analise de tempo,temporalidade de condicoes clinicas,1
teixeira_10,previsao de parto,data parto,1
teixeira_11,avaliacao de alergias,auditoria alergias,1
teixeira_12,eficiencia de processos,erros processos,1
teixeira_13,revisao de atendimento,revisoes de dados,1
teixeira_14,tendencias temporais,revisoes,0
teixeira_15,tendencias temporais,datas de resposta,1
teixeira_16,classificacao de problemas,status de resolucao,1
teixeira_17,eficiencia de profissionais,atendimentos profissionais,0
teixeira_18,historico de cns,historico profissional,0
teixeira_19,identificacao de niveis,gestao de demandas,0
teixeira_20,idade de registro,idade dos pacientes,1
teixeira_21,identificacao de moradores,dados populacionais,1
teixeira_22,agendamento de consultas,atendimento,1
teixeira_23,uso de medicamentos,medicamentos odontologicos,1
teixeira_24,identificacao de fontes,fontes de agua,1
teixeira_25,analise de desempenho,fluxo de atendimento,0
teixeira_26,atendimentos odontologicos,odontologia,1
teixeira_27,atencao basica,niveis de atencao,1
teixeira_28,distribuicao por municipio,modalidades de atencao basica,0
teixeira_29,identificacao de fontes,infraestrutura rural,0
teixeira_30,tipos de auditoria,auditoria atendimento,1
teixeira_31,dados demograficos,procedimentos clinicos,0
teixeira_32,auditorias de saude,auditoria clinica,1
teixeira_33,distribuicao de ceps,geolocalizacao,1
teixeira_34,analise por sexo,categorias de exames,0
teixeira_35,revisao de fichas,versoes sistemas,1
teixeira_36,tipos de revisao,atividades coletivas,0
teixeira_37,auditoria de conduta,auditoria medica,1
teixeira_38,racionalidade em saude,sistemas medicos,0
teixeira_39,ordem de atividade,atividades de saude,0
teixeira_40,professores envolvidos,colaboracao profissional,1
teixeira_41,codigos de doencas,analise de sintomas,0
teixeira_42,identificacao de alergenos,classificacao,0
teixeira_43,saude publica,classificacao de prioridade,0
teixeira_44,cuidado compartilhado,saude materna,0
teixeira_45,evolucao de cuidados,tempo de atendimento,0
teixeira_46,sintomas medicos,sintomas alergenicos,1
teixeira_47,disponibilidade de lotacao,cbo disponibilidade,1
teixeira_48,tempo de consulta,disponibilidade de atendimento,1
teixeira_49,identificacao de endereco,dados cadastrais,1
teixeira_50,processos,gestao de credenciais,0
teixeira_51,tendencias temporais,tempo fichas,1
teixeira_52,pontuacao de satisfacao,desenvolvimento infantil,0
teixeira_53,tipos de aleitamento,nutricao infantil,1
teixeira_54,vacinacao em comunicantes hanseniase,regras de doses,0
teixeira_55,saude e bem-estar,saude do cidadao,1
teixeira_56,distribuicao de quadros,layout de fichas,0
teixeira_57,caracteristicas demograficas,perfil paciente,1
teixeira_58,perfis de ator,perfis de usuario,1
teixeira_59,revisao de configuracao,configuracao de periodo,1
teixeira_60,notas medicas,saude mental,1
teixeira_61,formato de resposta,metodos de pesquisa,1
teixeira_62,identificacao de areas,categorias de area,1
teixeira_63,analise de perguntas,pesquisa nutricional,1
teixeira_64,classificacao de vias,enderecamento urbano,1
teixeira_65,tipos de tecido mole,mapeamento lesoes,0
teixeira_66,lotacoes de profissionais,atendimentos profissionais,1
teixeira_67,identificacao,cadastro cidadao,1
teixeira_68,setores de atuacao,educacao e formacao,1
teixeira_69,prescricoes medicas,orientacoes medicas,1
teixeira_70,evolucao de planos de tratamento,tratamento paciente,1
teixeira_71,residencia,registro domiciliar,1
teixeira_72,saude e enfermagem,mapeamento cbo,0
teixeira_73,identificacao de parentes,parentesco censo,1
teixeira_74,atendimento remoto,canais de atendimento,1
teixeira_75,saude materna,condicoes de saude,0
teixeira_76,avaliacao de auditoria,avaliacao clinica,1
teixeira_77,revisoes medicas,saude infantil,0
teixeira_78,titulos,titulos de nobreza,1
teixeira_79,equipes principais,hierarquia organizacional,1
teixeira_80,relacoes entre exames e procedimentos,exames medicos,0
teixeira_81,distribuicao de atores,distribuicao geografica,1
teixeira_82,identificadores de provas,testes laboratoriais,1
teixeira_83,evolucao odontologica,odontologia,1
teixeira_84,auditoria odontologica,auditoria de saude,1
teixeira_85,cid10,classificacao cid10,1
teixeira_86,epidemiologia,doencas cid-10,1
teixeira_87,ordem tratamento,categorias medicamentos,0
teixeira_88,tipos de conduta,alta e observacao,0
teixeira_89,identificacao de atendimento,analise de evadidos,0
teixeira_90,localizacao,distribuicao geografica,1
teixeira_91,medicamentos,identificadores de vias,0
teixeira_92,origem de pacientes,internacao hospitalar,0
teixeira_93,categorias,sintomas,0
teixeira_94,contexto de pergunta,condicoes socioeconomicas,1
teixeira_95,analise de revisoes,evolucao neurologica,1
teixeira_96,saude publica,saude cardiovascular,1
teixeira_97,evolucao de riscos,evolucao clinica,1
teixeira_98,saude publica,recursos humanos saude,0
teixeira_99,processos de trabalho,educacao permanente,0
teixeira_100,participantes,participacao em agendamentos,1
