LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
DEEPSEEK,nhanes_demographics.demo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994039535522,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds1tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8851188023885092,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2ids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9243078430493673,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2tot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993642171224,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqids_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9352691968282064,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqtot_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8851188023885092,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bmx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661898295084,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993840853373,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpxo_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7027190526326498,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.cbc_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7422868013381958,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.fastqx_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661302248637,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ghb_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9629385670026144,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.hepa_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.961260199546814,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ins_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7762876152992249,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.phthte_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661699612936,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ssuvcm_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.38913609584172565,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.uio_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.4,0.7588662147521973,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vic_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.5308101971944174,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vid_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.5111250082651774,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.alq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8274076581001282,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.dpq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999998946984609,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.hsq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999994039535522,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.puqmec_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8398200670878092,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.smqshs_j,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9053598046302795,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.whq_j,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999993642171224,29683.0,29433.0,250.0,P1_isolated_effects
DEEPSEEK,nhanes_demographics.demo_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666662693023682,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds1tot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8851188023885092,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2ids_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992648760477,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2tot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7901837627092997,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqids_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8851188023885092,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqtot_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8931634028752645,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bmx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8173084457715353,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.846568246682485,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpxo_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.6673458019892374,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.cbc_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8277637561162313,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.fastqx_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666661302248637,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ghb_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.6296055118242899,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.hepa_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.6188671588897705,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ins_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7707279523213705,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.phthte_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.6666661699612936,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ssuvcm_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.3551163872083028,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.uio_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7859696944554647,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vic_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.46519899368286133,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vid_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999999483426412,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.alq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8274076581001282,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.dpq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999998946984609,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.hsq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999994039535522,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.puqmec_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993443489075,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.smqshs_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999990463256836,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.whq_j,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993642171224,32273.0,29433.0,2840.0,P1_isolated_effects
DEEPSEEK,nhanes_demographics.demo_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.5853866338729858,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds1tot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9010827342669169,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2ids_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999992648760477,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2tot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993642171224,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqids_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.8045566280682882,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqtot_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.8045566280682882,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bmx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999992847442627,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9591617981592814,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpxo_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.4980802536010742,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.cbc_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993443489075,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.fastqx_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.5538934667905172,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ghb_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9629385670026144,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.hepa_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.680362343788147,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ins_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.33333293596903485,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.phthte_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.4735599160194397,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ssuvcm_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.38283848762512207,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.uio_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7859696944554647,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vic_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.5308101971944174,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.vid_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.999999483426412,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.alq_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9087925354639689,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.dpq_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.5728867252667745,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.hsq_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.5528689821561178,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.puqmec_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.3333331346511841,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.smqshs_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.6666660308837891,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_questionnaire.whq_j,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.6666662295659384,58015.0,29433.0,28582.0,P1_isolated_effects
DEEPSEEK,nhanes_demographics.demo_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999994039535522,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds1tot_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.6666666666666666,0.8851188023885092,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2ids_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999992648760477,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.ds2tot_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999993642171224,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqids_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999994039535522,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_dietary.dsqtot_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.7053977847099304,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bmx_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.7635564009348551,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpx_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999993840853373,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_examination.bpxo_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.4980802536010742,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.cbc_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.8159179290135702,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.fastqx_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.5408709843953451,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ghb_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.6666666666666666,0.9629385670026144,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.hepa_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.46846699714660645,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.ins_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.33333293596903485,64762.0,29433.0,35329.0,P1_isolated_effects
DEEPSEEK,nhanes_laboratory.phthte_j,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.5053999225298563,64762.0,29433.0,35329.0,P1_isolated_effects
