id,tema_a,tema_b,match_humano
magento2_1,segmentacao de clientes,precos por grupo,0
magento2_2,log de compartilhamento de produtos,controle temporal de envios,0
magento2_3,vendas agregadas,agregacao de faturamento,1
magento2_4,atributos de produto,opcoes de atributos eav,1
magento2_5,definicao de roles,gestao de papeis,1
magento2_6,localizacao de cliente,validacao de vat,0
magento2_7,associacao de lojas,distribuicao por loja,1
magento2_8,estrutura de dados,cache de aplicacao,0
magento2_9,indice de precos por grupo,agrupamento de clientes,0
magento2_10,preco de produtos,indice de precos agregados,1
magento2_11,registro de entidade,atributo de entidade,1
magento2_12,status de pedidos por loja,desempenho de loja,0
magento2_13,gerenciamento de templates,remetente de campanha,0
magento2_14,indice de precos por grupo,grupo de clientes,0
magento2_15,tabela temporaria de otimizacao,website de vendas,0
magento2_16,vinculo de layouts,atualizacoes de layout,1
magento2_17,mapeamento de atributos,atributos por conjunto,1
magento2_18,calculo de impostos,informacoes de produtos,0
magento2_19,valores de texto de categoria,valores de atributos eav,1
magento2_20,classificacao de transacao,gestao de vendas,0
magento2_21,definicao de dados de atributos,metadados de catalogo,1
magento2_22,gerenciamento de temas,temas de design,1
magento2_23,estrutura de loja,temas visuais,0
magento2_24,monitoramento de loja,notificacao de produto,0
magento2_25,visibilidade de status de pedido,configuracao de visibilidade,1
magento2_26,entidades de avaliacao,entidade de rating,1
magento2_27,configuracao de produtos em pacote,opcoes de produtos,0
magento2_28,configuracao de atributos magento,modelos de atributo,1
magento2_29,gerenciamento de loja,opcoes de produto por loja,0
magento2_30,metricas de loja,votos por loja,1
magento2_31,informacoes adicionais,hierarquia de transacoes,0
magento2_32,desempenho de loja,percentual aprovado,0
magento2_33,valores de opcoes de produtos,catalogacao de produtos,1
magento2_34,selecoes de produtos em pacotes,preco de selecao de bundle,1
magento2_35,parametros de exibicao,identificacao de widget,0
magento2_36,mapeamento de lojas,opcoes de produto,0
magento2_37,categorias de dados,agrupamento de campos por tipo,1
magento2_38,mapeamento de opcoes,valores de tipo,0
magento2_39,opcoes de produtos em pedidos,venda de produtos,0
magento2_40,atributos personalizados de produtos,itens de citacao,0
magento2_41,configuracao de itens de cotacao,itens de citacao,1
magento2_42,log de atividades,registro por loja,0
magento2_43,configuracao de site,obrigatoriedade de atributos,0
magento2_44,associacao de pagina,referencias de blocos,0
magento2_45,registro de atividades,eventos de relatorio,0
magento2_46,layout de pagina,layout update mapping,1
magento2_47,atualizacao de itens,lista de desejos,0
magento2_48,itens de produtos em lojas,itens de wishlist,0
magento2_49,configuracao de templates,configuracao de remetente,0
magento2_50,produtos desejados,preferencias por loja,1
magento2_51,dados de data,valores datetime eav,1
magento2_52,pedidos despachados,vendas por loja,0
magento2_53,gerenciamento de comunicacao,conteudo de email,1
magento2_54,configuracao de loja,catalogo multi-loja,0
magento2_55,analise de precos por loja,desempenho de produtos por loja,1
magento2_56,distribuicao de catalogo,catalogo multi-site,1
magento2_57,gerenciamento de imagens de produtos,associacao produto-imagem,1
magento2_58,valores de texto,valores eav,1
magento2_59,identificacao de produtos,imagens de produtos por entidade,1
magento2_60,experimentos a/b,experimentos de marketing,1
magento2_61,scripts de teste,codigo de rastreamento,0
magento2_62,valores de atributos,identificacao de produtos,0
magento2_63,identificacao de produtos,catalogo de produtos,1
magento2_64,relatorio de produtos,historico de visualizacoes,1
magento2_65,cronologia de feedback,entidades revisadas,0
magento2_66,categorias de usuario,grupos de clientes,1
magento2_67,indice de loja,indice eav de produtos,1
magento2_68,detalhes de loja,revisoes por loja,1
magento2_69,metricas financeiras de pedidos,desempenho de descontos,1
magento2_70,mapeamento de tipos,estrutura de avaliacoes,0
magento2_71,periodo de promocao,agendamento de design,0
magento2_72,configuracao de paises-alvo em campanhas,atributos de produtos,0
magento2_73,metricas de produtos por loja,atributos de produtos,1
magento2_74,classificacao de revisao,aprovacao de produtos,0
magento2_75,configuracao de entidade,processamento em lote,0
magento2_76,indexacao de produtos,indice temporario,1
magento2_77,identificacao de pais,formatacao de endereco,0
magento2_78,indice de produtos,indice eav de catalogo,1
magento2_79,frequencia de uso,relacionamento cliente,0
magento2_80,controle de descontos,relacao cupom-cliente,1
magento2_81,gerenciamento de precos em e-commerce,preco de produtos,1
magento2_82,indexacao de precos,preco de produtos,1
magento2_83,gerenciamento de precos em e-commerce,precos por site,1
magento2_84,indice de precificacao,classificacao de impostos,0
magento2_85,associacao de link,preco por loja,0
magento2_86,gerenciamento de lojas,regras por loja,0
magento2_87,gestao de downloads,link para download do item adquirido,1
magento2_88,visitas de usuarios,rastreamento de visitas,1
magento2_89,estrutura de precos por website,precos de produtos,1
magento2_90,promocoes por website,escopo de website,0
magento2_91,controle de licencas,downloads de produtos digitais,0
magento2_92,gerenciamento de loja,identificacao de lojas,0
magento2_93,identificacao de recursos,associatividade de links,0
magento2_94,estrutura de grupos de clientes,indice de preco por grupo de cliente,1
magento2_95,estrutura de grupos de clientes,indice de precos por grupo de cliente,1
magento2_96,download de arquivos,arquivos de amostra,1
magento2_97,mapeamento de lojas,restricoes de vendas por website,0
magento2_98,estado de visualizacao,estado de indexacao,1
magento2_99,configuracao de modo,sincronizacao de dados,0
magento2_100,calculo de impostos,impostos por item,1
