LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
GEMINI,public.ta_medicamento_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.750050961971283,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.ta_tecido_mole,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6814263463020325,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.ta_vacinacao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.9305771787961324,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_antecedente,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8598952293395996,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_ciap_ms,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.9248069723447164,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_cidadao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666662891705831,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_cuidado_compartilhado_evol,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.842848002910614,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_dim_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8560275435447693,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_evolucao_odonto,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8872384230295817,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_evolucao_subjetivo,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999483426412,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_exame_hemoglobina_glicada,v02_plus_fk,v00_baseline,FK vs baseline,1,0.8,0.7999995231628418,27156.0,23246.0,3910.0,P1_isolated_effects
GEMINI,public.tb_exame_prenatal,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.8475416700045267,27156.0,23246.0,3910.0,P1_isolated_effects
