LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
MISTRAL,public.ta_medicamento_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.39461855093638104,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.ta_tecido_mole,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.6111043095588684,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.ta_vacinacao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9912265141805013,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_antecedente,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999463558197,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_ciap_ms,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.790633757909139,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_cidadao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8444257179896036,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_cuidado_compartilhado_evol,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.6467764576276144,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_dim_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7396394610404968,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_odonto,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.801910936832428,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_subjetivo,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.999999463558197,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_exame_hemoglobina_glicada,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.8578459421793619,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_exame_prenatal,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8771650393803915,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_fat_atend_odonto_problemas,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7286949753761292,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_fat_rel_op_risco_cardio,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999992847442627,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_historico_dados_fao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.5866396427154541,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_justificativa_prontuario,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.756157378355662,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_lembrete_evolucao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.3874448537826538,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_medicamento_uso_continuo,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8431565960248312,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_medicao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.216404398282369,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_odontograma,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8492026726404825,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_problema,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.3907009760538737,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_proced_exame_especifico,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999995231628418,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_raca_cor,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.6301834583282471,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.tb_tipo_glicemia,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999995628992716,27777.0,24206.0,3571.0,P1_isolated_effects
MISTRAL,public.ta_medicamento_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7141438722610474,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.ta_tecido_mole,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7382706801096598,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.ta_vacinacao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999993840853373,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_antecedente,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.999999463558197,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_ciap_ms,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.7638338009516398,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_cidadao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999994238217672,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_cuidado_compartilhado_evol,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8647351066271464,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_dim_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999991059303284,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_odonto,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8460521697998047,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_subjetivo,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7646405498186747,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_exame_hemoglobina_glicada,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.91976930697759,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_exame_prenatal,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9706099232037863,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_fat_atend_odonto_problemas,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992648760477,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_fat_rel_op_risco_cardio,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992847442627,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_historico_dados_fao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9631749788920084,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_justificativa_prontuario,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.8472597002983093,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_lembrete_evolucao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.41210172573725384,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_medicamento_uso_continuo,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.9091627597808838,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_medicao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999992847442627,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_odontograma,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.9303457935651144,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_problema,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7369356552759806,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_proced_exame_especifico,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.803484320640564,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_raca_cor,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.6908049384752909,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.tb_tipo_glicemia,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8868557810783386,25647.0,24206.0,1441.0,P1_isolated_effects
MISTRAL,public.ta_medicamento_catmat,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9019483725229899,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.ta_tecido_mole,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.5752389430999756,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.ta_vacinacao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.8666966358820597,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_antecedente,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.999999463558197,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_ciap_ms,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7810528874397278,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_cidadao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999994238217672,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_cuidado_compartilhado_evol,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9801095326741537,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_dim_catmat,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9357723792394003,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_odonto,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.924153745174408,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_subjetivo,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7695377270380656,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_exame_hemoglobina_glicada,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999993443489075,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_exame_prenatal,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7485248843828837,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_fat_atend_odonto_problemas,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.547425369421641,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_fat_rel_op_risco_cardio,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.8351157307624817,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_historico_dados_fao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9655192891756693,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_justificativa_prontuario,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.8472597002983093,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_lembrete_evolucao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.5749735832214355,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_medicamento_uso_continuo,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.699194331963857,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_medicao,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.5830581585566202,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_odontograma,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.0,0.5528286496798197,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_problema,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.7926107247670492,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_proced_exame_especifico,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,1.0,0.9999995231628418,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_raca_cor,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.6666666666666666,0.9678676128387451,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.tb_tipo_glicemia,v04_plus_numeric_stats,v00_baseline,numeric_stats vs baseline,1,0.3333333333333333,0.9046617945035299,34757.0,24206.0,10551.0,P1_isolated_effects
MISTRAL,public.ta_medicamento_catmat,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.7175255417823792,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.ta_tecido_mole,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.851054827372233,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.ta_vacinacao,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.5453221599260966,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_antecedente,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.7177738746007284,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_ciap_ms,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.506631076335907,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_cidadao,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.6666666666666666,0.901515265305837,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_cuidado_compartilhado_evol,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.6283779342969259,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_dim_catmat,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.5737685362497965,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_odonto,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.7275816996892294,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_evolucao_subjetivo,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.5541946490605673,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_exame_hemoglobina_glicada,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.8448417584101359,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_exame_prenatal,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.8920357823371887,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_fat_atend_odonto_problemas,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.5707874099413554,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_fat_rel_op_risco_cardio,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.6666666666666666,0.6666661500930786,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_historico_dados_fao,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.5532191197077433,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_justificativa_prontuario,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,1.0,0.9999993244806925,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_lembrete_evolucao,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.0,0.4294505715370178,62953.0,24206.0,38747.0,P1_isolated_effects
MISTRAL,public.tb_medicamento_uso_continuo,v05_plus_sample_values,v00_baseline,sample_values vs baseline,1,0.3333333333333333,0.9091627597808838,62953.0,24206.0,38747.0,P1_isolated_effects
