LLM_Model,Tabela,Variante_A,Variante_B,Comparacao,Runs_Comparados,HardDice_mean,SoftDice_mean,TokensIn_A_mean,TokensIn_B_mean,Delta_TokensIn,RQ
DEEPSEEK,public.ta_medicamento_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7121440768241882,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.ta_tecido_mole,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5536924799283346,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.ta_vacinacao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8835965792338053,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_antecedente,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7352741161982218,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_ciap_ms,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666659911473592,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_cidadao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666664481163025,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_cuidado_compartilhado_evol,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.5311773618062338,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_dim_catmat,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.9433531761169434,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_evolucao_odonto,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999992648760477,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_evolucao_subjetivo,v02_plus_fk,v00_baseline,FK vs baseline,1,0.8,0.7999995946884155,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_exame_hemoglobina_glicada,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661500930786,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_exame_prenatal,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7932324806849161,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_fat_atend_odonto_problemas,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666661699612936,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_fat_rel_op_risco_cardio,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8659634788831075,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_historico_dados_fao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.6666666666666666,0.6666662096977234,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_justificativa_prontuario,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.7933917244275411,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_lembrete_evolucao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7466340065002441,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_medicamento_uso_continuo,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7514592607816061,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_medicao,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.6893076697985331,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_odontograma,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999992450078329,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_problema,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.7163854837417603,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_proced_exame_especifico,v02_plus_fk,v00_baseline,FK vs baseline,1,1.0,0.9999996821085612,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_raca_cor,v02_plus_fk,v00_baseline,FK vs baseline,1,0.3333333333333333,0.8823775251706442,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.tb_tipo_glicemia,v02_plus_fk,v00_baseline,FK vs baseline,1,0.0,0.9439283311367035,27898.0,24080.0,3818.0,P1_isolated_effects
DEEPSEEK,public.ta_medicamento_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.8940744201342264,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.ta_tecido_mole,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.875344971815745,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.ta_vacinacao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.9203188021977743,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_antecedente,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.0,0.7352741161982218,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_ciap_ms,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.8886316617329916,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_cidadao,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999995430310568,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_cuidado_compartilhado_evol,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.3333333333333333,0.753942608833313,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_dim_catmat,v03_plus_nullable,v00_baseline,nullable vs baseline,1,1.0,0.9999994039535522,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_evolucao_odonto,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.6666666666666666,0.924153745174408,25521.0,24080.0,1441.0,P1_isolated_effects
DEEPSEEK,public.tb_evolucao_subjetivo,v03_plus_nullable,v00_baseline,nullable vs baseline,1,0.8,0.7999995946884155,25521.0,24080.0,1441.0,P1_isolated_effects
