cluster_id,cluster_label,n_tables_in_cluster,table
0,dim | fat | cidadao,43,public.tb_dim_cidadao_pec_grupo
0,dim | fat | cidadao,43,public.tb_fat_atd_ind_encaminhamentos
0,dim | fat | cidadao,43,public.tb_fat_atd_ind_exames
0,dim | fat | cidadao,43,public.tb_fat_atd_ind_medicamentos
0,dim | fat | cidadao,43,public.tb_fat_atd_ind_problemas
0,dim | fat | cidadao,43,public.tb_fat_atd_ind_procedimentos
0,dim | fat | cidadao,43,public.tb_fat_atend_dom_prob_cond
0,dim | fat | cidadao,43,public.tb_fat_atend_dom_proced
0,dim | fat | cidadao,43,public.tb_fat_atend_odonto_encaminham
0,dim | fat | cidadao,43,public.tb_fat_atend_odonto_exames
0,dim | fat | cidadao,43,public.tb_fat_atend_odonto_medicament
0,dim | fat | cidadao,43,public.tb_fat_atend_odonto_problemas
0,dim | fat | cidadao,43,public.tb_fat_atend_odonto_proced
0,dim | fat | cidadao,43,public.tb_fat_atendimento_domiciliar
0,dim | fat | cidadao,43,public.tb_fat_atendimento_individual
0,dim | fat | cidadao,43,public.tb_fat_atendimento_odonto
0,dim | fat | cidadao,43,public.tb_fat_atividade_coletiva
0,dim | fat | cidadao,43,public.tb_fat_atvdd_coletiva_ext
0,dim | fat | cidadao,43,public.tb_fat_atvdd_coletiva_int
0,dim | fat | cidadao,43,public.tb_fat_atvdd_coletiva_part
0,dim | fat | cidadao,43,public.tb_fat_atvdd_coletiva_propart
0,dim | fat | cidadao,43,public.tb_fat_avaliacao_elegibilidade
0,dim | fat | cidadao,43,public.tb_fat_cad_dom_familia
0,dim | fat | cidadao,43,public.tb_fat_cad_individual
0,dim | fat | cidadao,43,public.tb_fat_cidadao
0,dim | fat | cidadao,43,public.tb_fat_cidadao_pec
0,dim | fat | cidadao,43,public.tb_fat_cidadao_territorio
0,dim | fat | cidadao,43,public.tb_fat_cnslddo_ciddo_fai_cid
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fad
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fai
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fao
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fci
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fp
0,dim | fat | cidadao,43,public.tb_fat_consolidado_cidadao_fvd
0,dim | fat | cidadao,43,public.tb_fat_cuidado_compartilhado
0,dim | fat | cidadao,43,public.tb_fat_fichas
0,dim | fat | cidadao,43,public.tb_fat_ivcf
0,dim | fat | cidadao,43,public.tb_fat_marca_consumo_alimnt
0,dim | fat | cidadao,43,public.tb_fat_op_acompanhamento_idosa
0,dim | fat | cidadao,43,public.tb_fat_proced_atend
0,dim | fat | cidadao,43,public.tb_fat_proced_atend_proced
0,dim | fat | cidadao,43,public.tb_fat_procedimento
0,dim | fat | cidadao,43,public.tb_fat_vacinacao
1,grupo | prontuario | unificacao,9,public.ta_prontuario
1,grupo | prontuario | unificacao,9,public.ta_prontuario_grupo_historico
1,grupo | prontuario | unificacao,9,public.tb_grupo_atendimento
1,grupo | prontuario | unificacao,9,public.tb_grupo_especialidade
1,grupo | prontuario | unificacao,9,public.tb_historico_unificacao
1,grupo | prontuario | unificacao,9,public.tb_prontuario
1,grupo | prontuario | unificacao,9,public.tb_prontuario_grupo_historico
1,grupo | prontuario | unificacao,9,public.tl_prontuario
1,grupo | prontuario | unificacao,9,public.tl_prontuario_grupo_historico
2,col | ativ | cds,21,public.rl_ativ_col_pratica_saude
2,col | ativ | cds,21,public.rl_ativ_col_tema_reuniao
2,col | ativ | cds,21,public.rl_ativ_col_tema_saude
2,col | ativ | cds,21,public.rl_cds_ficha_ativ_col_pratica
2,col | ativ | cds,21,public.rl_cds_ficha_ativ_col_prof
2,col | ativ | cds,21,public.rl_cds_ficha_ativ_col_tema
2,col | ativ | cds,21,public.ta_ativ_col_pratica_saude
2,col | ativ | cds,21,public.ta_ativ_col_tema_reuniao
2,col | ativ | cds,21,public.ta_ativ_col_tema_saude
2,col | ativ | cds,21,public.tb_cds_ativ_col_participante
2,col | ativ | cds,21,public.tb_cds_ativ_col_pratica
2,col | ativ | cds,21,public.tb_cds_ativ_col_tema
2,col | ativ | cds,21,public.tb_cds_ficha_ativ_col
2,col | ativ | cds,21,public.tb_cds_tipo_ativ_col
2,col | ativ | cds,21,public.tb_grupo_ativ_col
2,col | ativ | cds,21,public.tl_cds_ativ_col_participante
2,col | ativ | cds,21,public.tl_cds_ficha_ativ_col
2,col | ativ | cds,21,public.tl_cds_ficha_ativ_col_pratica
2,col | ativ | cds,21,public.tl_cds_ficha_ativ_col_prof
2,col | ativ | cds,21,public.tl_cds_ficha_ativ_col_tema
2,col | ativ | cds,21,public.tl_grupo_ativ_col
3,atend | agendado | encaminhamento,18,public.ta_agendado
3,atend | agendado | encaminhamento,18,public.ta_atend
3,atend | agendado | encaminhamento,18,public.ta_atend_prof
3,atend | agendado | encaminhamento,18,public.ta_encaminhamento
3,atend | agendado | encaminhamento,18,public.tb_agendado
